Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,
Déploiement par EPCI,,,,
,,,,
,,,,
Siren EPCI,Champ,T3 2017,T4 2017,T1 2018
200057859,Locaux Raccordables,17464,17751,18384
200057859,Catégorie,10,10,10
200057958,Locaux Raccordables,26278,32463,38209
200057958,Catégorie,25,25,25
200058360,Locaux Raccordables,0,0,0
200058360,Catégorie,0,0,0
200058477,Locaux Raccordables,45888,49558,52238
200058477,Catégorie,50,50,50
200058485,Locaux Raccordables,56178,62079,65604
200058485,Catégorie,25,50,50
200058519,Locaux Raccordables,94692,103830,109910
200058519,Catégorie,50,50,50
200058782,Locaux Raccordables,45092,47152,48688
200058782,Catégorie,25,25,25
200059228,Locaux Raccordables,36031,43547,46319
200059228,Catégorie,25,25,25
200059392,Locaux Raccordables,0,0,0
200059392,Catégorie,0,0,0
200059400,Locaux Raccordables,0,0,0
200059400,Catégorie,0,0,0
200059871,Locaux Raccordables,0,0,0
200059871,Catégorie,0,0,0
200059889,Locaux Raccordables,71083,81059,85164
200059889,Catégorie,25,25,25
200060010,Locaux Raccordables,0,0,0
200060010,Catégorie,0,0,0
200060457,Locaux Raccordables,0,0,0
200060457,Catégorie,0,0,0
200060465,Locaux Raccordables,0,0,0
200060465,Catégorie,0,0,0
200060473,Locaux Raccordables,0,0,0
200060473,Catégorie,0,0,0
200065563,Locaux Raccordables,18877,15225,15261
200065563,Catégorie,50,25,25
200065589,Locaux Raccordables,1510,1483,1511
200065589,Catégorie,10,10,10
200065597,Locaux Raccordables,96298,97659,99258
200065597,Catégorie,50,50,50
200065647,Locaux Raccordables,11486,12669,14155
200065647,Catégorie,10,10,10
200065787,Locaux Raccordables,0,800,2127
200065787,Catégorie,0,5,10
200065886,Locaux Raccordables,8235,11238,16505
200065886,Catégorie,10,10,25
200065894,Locaux Raccordables,10389,14413,16581
200065894,Catégorie,25,25,50
200065928,Locaux Raccordables,6271,7682,8782
200065928,Catégorie,5,10,10
200066009,Locaux Raccordables,46659,50664,60465
200066009,Catégorie,25,25,25
200066017,Locaux Raccordables,0,0,0
200066017,Catégorie,0,0,0
200066025,Locaux Raccordables,369,369,369
200066025,Catégorie,5,5,5
200066033,Locaux Raccordables,0,732,734
200066033,Catégorie,0,5,5
200066041,Locaux Raccordables,0,0,587
200066041,Catégorie,0,0,5
200066058,Locaux Raccordables,2775,6775,9099
200066058,Catégorie,5,10,10
200066108,Locaux Raccordables,0,0,0
200066108,Catégorie,0,0,0
200066116,Locaux Raccordables,0,0,0
200066116,Catégorie,0,0,0
200066124,Locaux Raccordables,613,167,167
200066124,Catégorie,5,5,5
200066132,Locaux Raccordables,0,0,0
200066132,Catégorie,0,0,0
200066140,Locaux Raccordables,0,0,0
200066140,Catégorie,0,0,0
200066157,Locaux Raccordables,0,0,0
200066157,Catégorie,0,0,0
200066165,Locaux Raccordables,0,0,0
200066165,Catégorie,0,0,0
200066173,Locaux Raccordables,0,0,0
200066173,Catégorie,0,0,0
200066223,Locaux Raccordables,0,0,0
200066223,Catégorie,0,0,0
200066231,Locaux Raccordables,3171,3392,3865
200066231,Catégorie,10,10,10
200066280,Locaux Raccordables,1313,1828,2077
200066280,Catégorie,5,10,10
200066322,Locaux Raccordables,0,0,0
200066322,Catégorie,0,0,0
200066330,Locaux Raccordables,0,0,0
200066330,Catégorie,0,0,0
200066348,Locaux Raccordables,0,0,0
200066348,Catégorie,0,0,0
200066355,Locaux Raccordables,950,1119,3294
200066355,Catégorie,5,5,5
200066363,Locaux Raccordables,0,0,0
200066363,Catégorie,0,0,0
200066371,Locaux Raccordables,0,0,0
200066371,Catégorie,0,0,0
200066389,Locaux Raccordables,4937,4937,5274
200066389,Catégorie,10,10,10
200066405,Locaux Raccordables,0,0,0
200066405,Catégorie,0,0,0
200066413,Locaux Raccordables,0,0,0
200066413,Catégorie,0,0,0
200066462,Locaux Raccordables,0,0,0
200066462,Catégorie,0,0,0
200066512,Locaux Raccordables,0,0,0
200066512,Catégorie,0,0,0
200066520,Locaux Raccordables,0,0,0
200066520,Catégorie,0,0,0
200066553,Locaux Raccordables,0,0,0
200066553,Catégorie,0,0,0
200066561,Locaux Raccordables,0,0,0
200066561,Catégorie,0,0,0
200066587,Locaux Raccordables,333,1294,2131
200066587,Catégorie,5,5,10
200066603,Locaux Raccordables,0,0,0
200066603,Catégorie,0,0,0
200066637,Locaux Raccordables,2482,2484,2486
200066637,Catégorie,10,10,10
200066645,Locaux Raccordables,0,0,0
200066645,Catégorie,0,0,0
200066652,Locaux Raccordables,220,293,293
200066652,Catégorie,5,5,5
200066660,Locaux Raccordables,312,473,856
200066660,Catégorie,5,5,5
200066678,Locaux Raccordables,1873,1877,1886
200066678,Catégorie,10,10,10
200066710,Locaux Raccordables,0,0,0
200066710,Catégorie,0,0,0
200066728,Locaux Raccordables,5945,6031,6042
200066728,Catégorie,50,50,50
200066744,Locaux Raccordables,0,0,0
200066744,Catégorie,0,0,0
200066751,Locaux Raccordables,0,0,0
200066751,Catégorie,0,0,0
200066769,Locaux Raccordables,0,0,0
200066769,Catégorie,0,0,0
200066777,Locaux Raccordables,0,0,0
200066777,Catégorie,0,0,0
200066785,Locaux Raccordables,994,1012,1014
200066785,Catégorie,5,5,5
200066793,Locaux Raccordables,32978,34152,36562
200066793,Catégorie,25,25,25
200066801,Locaux Raccordables,0,0,0
200066801,Catégorie,0,0,0
200066819,Locaux Raccordables,0,0,0
200066819,Catégorie,0,0,0
200066827,Locaux Raccordables,68,70,91
200066827,Catégorie,5,5,5
200066835,Locaux Raccordables,0,0,0
200066835,Catégorie,0,0,0
200066850,Locaux Raccordables,0,0,0
200066850,Catégorie,0,0,0
200066868,Locaux Raccordables,0,0,0
200066868,Catégorie,0,0,0
200066876,Locaux Raccordables,13642,14498,15714
200066876,Catégorie,25,25,25
200066884,Locaux Raccordables,0,0,0
200066884,Catégorie,0,0,0
200066892,Locaux Raccordables,0,0,0
200066892,Catégorie,0,0,0
200066918,Locaux Raccordables,1589,2350,2727
200066918,Catégorie,5,5,5
200066926,Locaux Raccordables,5087,5625,6103
200066926,Catégorie,10,10,25
200066975,Locaux Raccordables,7974,9177,9403
200066975,Catégorie,50,50,50
200067023,Locaux Raccordables,0,0,0
200067023,Catégorie,0,0,0
200067031,Locaux Raccordables,0,0,866
200067031,Catégorie,0,0,5
200067049,Locaux Raccordables,0,0,0
200067049,Catégorie,0,0,0
200067064,Locaux Raccordables,0,0,0
200067064,Catégorie,0,0,0
200067072,Locaux Raccordables,0,0,0
200067072,Catégorie,0,0,0
