Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
Informations à l'échelle de l'EPCI,,,
,,,
,,,
Siren EPCI,Nom EPCI,Logements,Établissements
200066231,CC des Portes d'Ariège Pyrénées, 19 819    , 1 166    
200066280,CC du Pithiverais, 14 223    , 744    
200066322,CC Terres des Confluences, 19 110    , 1 063    
200066330,CC Terres du Haut-Berry, 12 798    , 536    
200066348,CC Minervois Saint-Ponais Orb-Jaur, 12 207    , 450    
200066355,CA du Bassin de Thau, 83 520    , 3 464    
200066363,CC de la Haute Ariège, 12 095    , 333    
200066371,CC Causses et Vallée de la Dordogne, 31 039    , 1 518    
200066389,CA Saint-Lô Agglo, 38 448    , 2 146    
200066405,CC Roumois Seine, 21 800    , 943    
200066413,CC Intercom Bernay Terres de Normandie, 29 427    , 1 543    
200066462,CC Interco Normandie Sud Eure, 21 780    , 1 003    
200066512,CC Élan Limousin Avenir Nature, 15 345    , 490    
200066520,CC Ouest Limousin, 8 183    , 245    
200066553,CC des Monts de Lacaune et de la Montagne du Haut Languedoc, 8 563    , 304    
200066561,CC Sidobre Vals et Plateaux, 8 250    , 433    
200066587,CC des Monts du Lyonnais, 16 063    , 924    
200066603,CC du Pays de Lubersac-Pompadour, 4 939    , 271    
200066637,CC Hautes Terres, 11 671    , 478    
200066645,CC Vézère-Monédières-Millesources, 4 916    , 133    
200066652,CC Grand Sud Tarn et Garonne, 17 983    , 740    
200066660,CC de Saint-Flour, 16 189    , 875    
200066678,CC de la Châtaigneraie Cantalienne, 13 872    , 624    
200066710,CC Cingal-Suisse Normande, 10 599    , 472    
200066728,CC Vallées de l'Orne et de l'Odon, 9 277    , 363    
200066744,CC Haute-Corrèze Communauté, 25 171    , 1 084    
200066751,CC Xaintrie Val'dordogne, 8 801    , 330    
200066769,CC Midi Corrézien, 9 345    , 354    
200066777,CC Ploërmel Communauté, 23 848    , 1 147    
200066785,CC de l'Oust à Brocéliande Communauté, 20 747    , 907    
200066793,CA du Grand Annecy, 100 635    , 7 205    
200066801,CC Isigny-Omaha Intercom, 15 346    , 710    
200066819,CC du Volvestre, 13 528    , 696    
200066827,CC du Pays de Honfleur-Beuzeville, 16 852    , 903    
200066835,CC de Sézanne-Sud Ouest Marnais, 12 042    , 723    
200066850,CC des Paysages de la Champagne, 11 328    , 1 284    
200066868,CC Presqu'île de Crozon-Aulne Maritime, 17 510    , 598    
200066876,CA de Châlons-en-Champagne, 38 422    , 2 045    
200066884,CC Quercy Vert-Aveyron, 10 067    , 413    
200066892,CC de Vendeuvre-Soulaines, 4 045    , 264    
200066918,CA Alès Agglomération, 72 553    , 3 457    
200066926,CA Grand Auch Coeur de Gascogne, 21 463    , 1 498    
200066975,CC Senlis Sud Oise, 11 635    , 834    
200067023,CC Coutances Mer et Bocage, 31 603    , 1 471    
200067031,CC Côte Ouest Centre Manche, 15 371    , 661    
200067049,CC Spelunca-Liamone, 11 155    , 323    
200067064,CC Decazeville Communauté, 12 705    , 509    
200067072,CC Haut-Léon Communauté, 21 128    , 1 036    
200067080,"CC Chablis, Villages et Terroirs", 9 473    , 712    
200067106,CA du Pays Basque, 192 104    , 10 937    
200067114,CA de l'Auxerrois, 35 911    , 2 376    
200067122,CC Coteaux et Plaines du Pays Lafrançaisain, 5 004    , 215    
200067130,CC de Puisaye-Forterre, 24 823    , 1 015    
200067155,"CC Saint Affricain, Roquefort, Sept Vallons", 8 938    , 493    
200067163,"CC Monts, Rance et Rougier", 5 548    , 240    
200067171,"CC Aubrac, Carladez et Viadène", 8 671    , 480    
200067189,CC Creuse Sud Ouest, 11 328    , 413    
200067197,CC Monts d'Arrée Communauté, 6 327    , 190    
200067205,CA du Cotentin, 101 523    , 4 402    
200067213,CU du Grand Reims, 148 275    , 8 808    
200067221,CC Centre Morbihan Communauté, 21 806    , 1 082    
200067239,CC des Luys en Béarn, 12 190    , 944    
200067247,CC Pleyben-Châteaulin-Porzay, 13 435    , 656    
200067254,CA Pau Béarn Pyrénées, 91 166    , 5 349    
200067262,CC du Haut-Béarn, 19 844    , 979    
200067288,CC du Béarn des Gaves, 10 119    , 504    
200067296,CC du Nord Est Béarn, 14 720    , 799    
200067304,CC Serein et Armance, 12 890    , 529    
200067320,CC Serre-Ponçon Val d'Avance, 4 187    , 159    
