Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,,,,,,,,,
Informations à l'échelle de la commune,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Code commune,Nom commune,Code région,Code département,Siren EPCI,Logements,Établissements,Zones très denses,Engagements L. 33-13,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,OI 2018 T1
39006,Aiglepierre,27,39,200071595, 200    , 6    , -    , -    , -    , 1    , -    ,
27004,Aigleville,28,27,200072312, 131    , 3    , -    , -    , -    , 1    , -    ,
04001,Aiglun,93,04,200067437, 560    , 36    , -    , -    , -    , 1    , 1    ,
06001,Aiglun,93,06,200039931, 109    , 2    , -    , -    , -    , 1    , 1    ,
32001,Aignan,76,32,200035632, 493    , 28    , -    , -    , -    , 1    , -    ,
21004,Aignay-le-Duc,27,21,242101434, 244    , 18    , -    , -    , -    , 1    , -    ,
34006,Aigne,76,34,200066348, 198    , 9    , -    , -    , -    , 1    , -    ,
72001,Aigné,52,72,247200132, 626    , 17    , -    , -    , -    , -    , -    ,
31002,Aignes,76,31,200071298, 122    , 4    , -    , -    , -    , 1    , -    ,
80008,Aigneville,32,80,200070944, 352    , 7    , -    , -    , -    , 1    , -    ,TUD6
51003,Aigny,44,51,200066876, 115    , 3    , -    , -    , -    , 1    , -    ,
79004,Aigonnay,75,79,200069755, 273    , 8    , -    , -    , -    , 1    , -    ,
16005,Aigre,75,16,200072023, 608    , 43    , -    , -    , -    , 1    , -    ,
31003,Aigrefeuille,76,31,243100518, 413    , 14    , -    ,SFR0 , -    , 1    , -    ,
17003,Aigrefeuille-d'Aunis,75,17,200041614, 1 782    , 101    , -    , -    , -    , -    , -    ,
44002,Aigrefeuille-sur-Maine,52,44,200067635, 1 379    , 100    , -    , -    , -    , -    , -    ,
30002,Aigremont,76,30,200034411, 358    , 10    , -    , -    , -    , 1    , -    ,
52002,Aigremont,44,52,200070332, 18    , -    , -    , -    , -    , 1    , -    ,
78007,Aigremont,11,78,200058519, 420    , 16    , -    ,FRTE , -    , 1    , -    ,FRTE
89002,Aigremont,27,89,200067080, 53    , 1    , -    , -    , -    , 1    , -    ,
73001,Aiguebelette-le-Lac,84,73,247300668, 245    , 7    , -    , -    , -    , 1    , 1    ,
73002,Aiguebelle,84,73,247300676, 596    , 45    , -    , -    , -    , 1    , 1    ,
73003,Aigueblanche,84,73,247300015, 1 796    , 85    , -    , -    , -    , -    , 1    ,
81002,Aiguefonde,76,81,248100430, 1 280    , 35    , -    ,SFR0 , -    , -    , 1    ,
63001,Aigueperse,84,63,200071199, 1 225    , 89    , -    , -    , -    , -    , -    ,
69002,Aigueperse,84,69,200067817, 197    , 6    , -    ,FRTE , -    , 1    , 1    ,
09001,Aigues-Juntes,76,09,200067940, 42    , -    , -    , -    , -    , 1    , 1    ,
30003,Aigues-Mortes,76,30,243000650, 5 059    , 286    , -    , -    , -    , -    , -    ,
09002,Aigues-Vives,76,09,200044469, 286    , 8    , -    , -    , -    , 1    , -    ,
11001,Aigues-Vives,76,11,200035715, 304    , 18    , -    , -    , -    , 1    , -    ,
30004,Aigues-Vives,76,30,243000569, 1 458    , 53    , -    , -    , -    , -    , -    ,
34007,Aigues-Vives,76,34,200066348, 330    , 17    , -    , -    , -    , 1    , -    ,
30005,Aiguèze,76,30,200034692, 221    , 7    , -    , -    , -    , 1    , -    ,
43002,Aiguilhe,84,43,200073419, 864    , 35    , -    ,FRTE , -    , -    , 1    ,
05003,Aiguilles,93,05,200067452, 567    , 22    , -    , -    , -    , 1    , 1    ,
47004,Aiguillon,75,47,200068922, 2 137    , 116    , -    , -    , -    , -    , -    ,
83002,Aiguines,93,83,200040210, 303    , 11    , -    , -    , -    , 1    , 1    ,
36001,Aigurande,24,36,200007052, 1 051    , 74    , -    , -    , -    , 1    , -    ,
07002,Ailhon,84,07,200073245, 301    , 4    , -    , -    , -    , 1    , -    ,
45002,Aillant-sur-Milleron,24,45,200067676, 261    , 4    , -    , -    , -    , 1    , -    ,
33002,Aillas,75,33,200044394, 410    , 39    , -    , -    , -    , 1    , -    ,
42002,Ailleux,84,42,200065886, 95    , 2    , -    , -    , -    , 1    , 1    ,
70005,Aillevans,27,70,247000714, 80    , 2    , -    , -    , -    , 1    , -    ,
10002,Ailleville,44,10,241000405, 128    , 3    , -    , -    , -    , 1    , -    ,
70006,Aillevillers-et-Lyaumont,27,70,200041721, 895    , 27    , -    , -    , -    , 1    , -    ,
52003,Aillianville,44,52,200069664, 107    , 1    , -    , -    , -    , 1    , -    ,
72002,Aillières-Beauvoir,52,72,200072676, 129    , 5    , -    , -    , -    , 1    , -    ,
73004,Aillon-le-Jeune,84,73,200069110, 837    , 36    , -    , -    , -    , 1    , 1    ,
73005,Aillon-le-Vieux,84,73,200069110, 156    , 2    , -    , -    , -    , 1    , 1    ,
70007,Ailloncourt,27,70,200041861, 142    , 4    , -    , -    , -    , 1    , -    ,
27005,Ailly,28,27,242700623, 466    , 20    , -    , -    , -    , 1    , -    ,
80009,Ailly-le-Haut-Clocher,32,80,200070936, 438    , 24    , -    , -    , -    , 1    , -    ,
80010,Ailly-sur-Noye,32,80,200070969, 1 325    , 67    , -    , -    , -    , -    , -    ,
80011,Ailly-sur-Somme,32,80,200071223, 1 338    , 47    , -    , -    , -    , -    , -    ,
30006,Aimargues,76,30,243000593, 2 569    , 127    , -    , -    , -    , -    , -    ,
73006,Aime-la-Plagne,84,73,247300817, 4 600    , 206    , -    , -    , -    , -    , 1    ,
03003,Ainay-le-Château,84,03,240300558, 712    , 25    , -    , -    , -    , 1    , -    ,
18002,Ainay-le-Vieil,24,18,200049484, 144    , 8    , -    , -    , -    , 1    , -    ,
64011,Aincille,75,64,200067106, 51    , 2    , -    , -    , -    , 1    , 1    ,
95008,Aincourt,11,95,249500513, 374    , 8    , -    , -    , -    , 1    , -    ,
55004,Aincreville,44,55,200066132, 54    , -    , -    , -    , -    , 1    , -    ,
54007,Aingeray,44,54,200070563, 222    , 9    , -    , -    , -    , 1    , -    ,
88003,Aingeville,44,88,200068682, 45    , 2    , -    , -    , -    , 1    , -    ,
52004,Aingoulaincourt,44,52,200044253, 5    , -    , -    , -    , -    , 1    , -    ,
64012,Ainharp,75,64,200067106, 67    , 5    , -    , -    , -    , 1    , 1    ,
64013,Ainhice-Mongelos,75,64,200067106, 93    , 12    , -    , -    , -    , 1    , 1    ,
64014,Ainhoa,75,64,200067106, 381    , 19    , -    , -    , -    , 1    , 1    ,
70008,Ainvelle,27,70,200041721, 85    , 2    , -    , -    , -    , 1    , -    ,
88004,Ainvelle,44,88,200068773, 103    , 2    , -    , -    , -    , 1    , -    ,
80013,Airaines,32,80,200071181, 1 057    , 63    , -    , -    , -    , -    , -    ,
08004,Aire,44,08,200043156, 98    , 7    , -    , -    , -    , 1    , -    ,
